鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前鎮區,房地(土地+建物)+車位,啟聖街61~90號,39.8,都市：其他:第四種住宅區,,,1100120,土地1建物1車位1,十七層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090318,322.17,2,2,2,有,有,39980000,125238,坡道平面,22.9,2500000,,RPPNMLRJNHGGFCE77DA,163.58,32.78,0.0,有,
三民區,房地(土地+建物),金陵街106巷9弄1~30號,95.72,都市：其他:第四種住宅區,,,1100312,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0951204,192.31,5,2,4,有,無,13380000,69575,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPPPMLMKLHGGFDE47DA,189.05,3.26,0.0,無,0017
三民區,房地(土地+建物),建興路361~390號,8.07,都市：其他:第三種商業區,,,1100331,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),,鋼筋混凝土造,0690605,54.31,2,1,1,有,有,2100000,38667,,0.0,0,,RPOSMLSJMHGGFDE28DA,41.04,0.0,0.0,有,0018
三民區,房地(土地+建物),十全一路18巷31~60號,23.7,都市：其他:第三種住宅區。,,,1100324,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750726,76.19,2,2,3,有,無,3200000,42000,,0.0,0,,RPPNMLLLMHGGFDE37DA,0.0,0.0,0.0,無,0019
三民區,房地(土地+建物),大昌一路301巷1弄1~30號,130.11,都市：其他:乙種工業區,,,1100322,土地5建物1車位0,全,四層,透天厝,資訊軟體業,鋼筋混凝土造,0990503,317.82,5,2,4,有,有,18000000,56636,,0.0,0,壹樓空地+3樓,RPTPMLLLMHGGFDE97DA,290.75,3.75,0.0,有,0020
三民區,房地(土地+建物),灣中街298巷1~30號,28.04,都市：其他:第三種住宅區。,,,1100405,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740820,94.91,3,2,2,有,無,3520000,37088,,0.0,0,,RPROMLNLMHGGFDE87DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物)+車位,明仁路1~30號,17.43,都市：其他:道路用地,,,1100411,土地3建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831103,147.89,3,2,2,有,有,8720000,58959,其他,0.0,0,,RPTOMLTLMHGGFDE68DA,79.83,13.66,0.0,有,0021
三民區,房地(土地+建物),遼寧三街91~120號,9.62,都市：其他:第四種住宅區,,,1080113,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091217,86.35,2,1,1,有,有,5250000,60799,,0.0,0,,RPSNMLKMMHGGFDE67DA,39.64,13.24,0.0,有,
三民區,房地(土地+建物),愛國路91~120號,3.22,都市：其他:第三種住宅區。,,,1100501,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950726,16.02,1,1,1,有,有,880000,54931,,0.0,0,夾層；,RPROMLNJNHGGFDE77DA,6.3,2.46,0.0,有,
三民區,房地(土地+建物),皓東路76巷1~30號,7.97,都市：其他:第四種商業區,,,1091016,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880521,69.53999999999999,2,2,1,有,有,3580000,51481,,0.0,0,,RPQNMLOJNHGGFDE67DA,45.76,5.6,0.0,有,0022
三民區,房地(土地+建物)+車位,明哲路31~60號,17.28,都市：其他:第三種住宅區。,,,1100406,土地1建物1車位1,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821126,155.18,3,2,2,有,有,7100000,45753,坡道平面,0.0,0,,RPSNMLOJNHGGFDE87DA,82.35,13.69,0.0,有,
三民區,房地(土地+建物)+車位,覺民路285巷31~60號,18.52,都市：其他:第三種特定商業專用區,,,1100412,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040813,164.37,3,2,2,有,有,8580000,52199,坡道平面,25.92,0,,RPPOMLOJNHGGFDE67DA,77.71,12.3,0.0,有,0023
三民區,房地(土地+建物),民壯路73巷31~60號,51.0,都市：其他:第四種商業區,,,1100406,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0761230,157.1,5,2,3,有,無,8100000,51560,,0.0,0,其他增建；,RPPPMLOJNHGGFDE77DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物),建國三路1~30號,1.94,都市：其他:第四種商業區,,,1100406,土地1建物1車位0,二十層，走廊,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840615,32.61,0,0,0,無,有,1620000,49678,,0.0,0,,RPQPMLOJNHGGFDE87DA,21.92,1.35,0.0,有,
三民區,房地(土地+建物)+車位,正興路1~30號,27.84,都市：其他:第四種商業區,,,1100421,土地1建物1車位1,三層，四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810514,399.42,5,2,4,有,有,13000000,32547,坡道平面,0.0,0,陽台外推；未登記建物；,RPTNMLPJNHGGFDE08DA,236.83,51.4,0.0,有,
三民區,房地(土地+建物),大中一路235巷1~30號,7.88,都市：其他:第五種住宅區,,,1100413,土地1建物1車位0,十五層，電梯樓梯間,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830523,112.77,3,1,2,有,有,4300000,38131,,0.0,0,,RPORMLPJNHGGFDE97DA,84.15,15.67,0.0,有,
三民區,房地(土地+建物),愛國路91~120號,4.51,都市：其他:第三種住宅區。,,,1100419,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950726,22.049999999999997,1,1,1,有,有,1100000,49887,,0.0,0,含傢俱設備費；,RPQNMLQJNHGGFDE87DA,10.2,2.07,0.0,有,
