鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新莊區,房地(土地+建物)+車位,中正路181~210號,25.89,都市：其他:住宅區,,,1100331,土地1建物1車位2,九層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051122,273.14,3,2,2,有,有,32000000,146086,坡道平面,78.05,3500000,,RPQQMLQJMHGGFBF97DA,119.64,2.75,11.3,有,
泰山區,土地,中山段361~390地號,14.14,都市：其他:道路用地,,,1100413,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1904107,134661,,0.0,0,包含公共設施保留地用地；,RPSSMLNKMHGGFBF18DA,0.0,0.0,0.0,無,0020
新莊區,房地(土地+建物),龍安路481~510號,11.58,都市：其他:市場用地,,,1100414,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890728,112.82000000000001,4,1,2,有,有,12000000,106364,,0.0,0,,RPXRNLOKMHGGFBF78DA,80.13,1.29,4.39,有,
泰山區,房地(土地+建物)+車位,仁義路181~210號,12.03,都市：其他:商業區,,,1100326,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931126,134.86,3,1,2,有,有,9200000,68219,坡道平面,24.27,0,親友、員工、共有人或其他特殊關係間之交易；,RPVSNLOKMHGGFBF68DA,73.68,1.48,6.87,有,
五股區,房地(土地+建物)+車位,西雲路91~120號,18.33,都市：其他:住宅區,,,1100403,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931007,135.95,3,2,2,有,有,10430000,76719,坡道平面,0.0,0,陽台外推；,RPQNMLRKMHGGFBF87DA,70.92,1.36,8.39,有,
五股區,房地(土地+建物)+車位,新五路三段211~240號,12.06,都市：其他:商業區,,,1100403,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060104,114.75,2,1,1,有,有,9700000,84532,坡道平面,0.0,0,,RPOOMLRKMHGGFBF77DA,50.27,0.0,4.35,有,0021
新莊區,房地(土地+建物),中正路893巷1~30號,107.12,都市：其他:住宅區,,,1100313,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660204,128.52,4,3,3,有,無,24200000,188298,,0.0,0,頂樓加蓋；其他增建；,RPWPMLTKMHGGFBF88DA,128.52,0.0,0.0,無,
泰山區,房地(土地+建物)+車位,明志路二段241~270號,41.75,都市：其他:住宅區,,,1100408,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091006,162.82999999999998,3,2,2,有,有,12000000,73696,坡道機械,14.88,0,,RPVPNLMLMHGGFBF28DA,84.57,12.59,9.37,有,
五股區,房地(土地+建物),御史路1~30號,23.53,都市：其他:住宅區,,,1100410,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920113,132.17000000000002,3,2,2,有,有,8800000,66581,,0.0,0,陽台外推；,RPWNMLQLMHGGFBF48DA,89.02,0.0,9.73,有,0022
新莊區,車位,中平路270巷1~30號,3.4,都市：其他:住宅區,,,1100410,土地1建物1車位1,,,其他,,,,44.0,0,0,0,有,有,2000000,,坡道平面,43.99,2000000,僅車位交易；,RPUTMLSLMHGGFBF09DA,0.0,0.0,0.0,有,0023
