鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,total_floor
鼓山區,房地(土地+建物)+車位,美術館路1~30號,19.62,都市：其他:第五種住宅區,,,1091210,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940404,151.33,3,2,2,有,有,10230000,67601,坡道平面,29.77,0,,RPRNMLRJJHGGFAE37DA,77.84,10.09,0.0,有,,14
鼓山區,房地(土地+建物)+車位,大順一路961~990號,33.95,都市：其他:第五種住宅區,,,1091128,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950517,254.46,4,2,3,有,有,17000000,66808,坡道平面,32.15,0,,RPQNMLKMJIPFFAE77DA,144.31,12.78,0.0,有,,15
鼓山區,房地(土地+建物)+車位,南屏路511~540號,9.98,都市：其他:第四種商業區,,,1091208,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890626,155.21,3,2,2,有,有,8280000,52767,坡道平面,26.72,1500000,,RPWNMLSJKIPFFAE98DA,85.46,9.82,0.0,有,,14
鼓山區,房地(土地+建物)+車位,美術北三路91~120號,14.76,都市：其他:特定第四種商業區,,,1091201,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950808,154.69,3,2,2,有,有,11800000,76282,坡道平面,16.79,0,,RPVNMLNLKIPFFAE58DA,86.47,9.32,0.0,有,,15
前鎮區,房地(土地+建物)+車位,民權二路511~540號,12.87,都市：其他:第五種住宅區,,,1091206,土地1建物1車位1,十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970307,268.76,2,2,3,有,有,20380000,75830,坡道平面,14.77,0,,RPSNMLLJJHGGFCE07DA,157.76,22.36,0.0,有,1062.0,29
前鎮區,房地(土地+建物),沱江街1~30號,15.48,都市：其他:第三種特定商業專用區,,,1091214,土地2建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780510,142.34,3,2,2,有,有,5680000,39904,,0.0,0,,RPOOMLPJJHGGFCE17DA,100.07,7.55,0.0,有,,16
前鎮區,房地(土地+建物),一心二路181~210號,2.28,都市：其他:第四種商業區,,,1091226,土地1建物1車位0,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831001,38.05,1,1,1,有,有,1690000,44415,,0.0,0,,RPRNMLRJJHGGFCE57DA,21.54,4.75,0.0,有,,20
苓雅區,房地(土地+建物)+車位,武廟路61~90號,10.11,都市：其他:第四種商業區,,,1091201,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821229,132.44,3,2,2,有,有,7200000,54364,坡道機械,0.0,0,,RPTOMLOJJHGGFBE47DA,87.34,22.96,0.0,有,,15
三民區,房地(土地+建物)+車位,大裕路174巷61~90號,17.29,都市：其他:第四種住宅區,,,1091205,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871102,125.37,3,2,2,有,有,5950000,47460,坡道機械,13.69,0,,RPUQMLRJJHGGFDE28DA,71.69,13.93,0.0,有,1069.0,14
三民區,房地(土地+建物)+車位,建國三路331~360號,13.66,都市：其他:第五種商業區,,,1091205,土地2建物1車位1,十九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021112,288.52,3,2,2,有,有,20200000,70012,坡道平面,21.4,0,陽台外推；,RPRNMLNJJHGGFDE27DA,145.95,32.9,0.0,有,1071.0,29
